,title,img_url,date,rating,score,description
39,What Happened at 625 River Road,https://static.metacritic.com/images/products/movies/98w-movie.jpg ,2022-07-01, Not Rated,tbd,"A psychological thriller, based on true events that occurred, following two female students to New York. As they arrive at their rental home, 625 River Rd, a chain of mysterious events take place that are still unsolved to this day."
40,Both Sides of the Blade,https://static.metacritic.com/images/products/movies/8/60c8859bf22ad614b0ca55d825a8ebf6-98.jpg ,2022-07-08, Not Rated,74,"Sara (Juliette Binoche) and Jean (Vincent Lindon) have been in a loving, stable relationship for ten years. They are happy. He is her rock, someone she can hold on to. When they first met, Sara was in a relationship with François (Grégoire Colin), Jean’s best friend. One day, Sara sees François on the street. He does not see her, but she is overwhelmed by a sensation that her life could suddenly change. François does indeed get in touch with Jean to suggest that they work together again. Before long, things are in danger of spiralling out of control. [Berlin]"
41,Mrs Harris Goes to Paris,https://static.metacritic.com/images/products/movies/1/cb91a50b9ab266f53ef757c954ce1fbc-98.jpg ,2022-07-15, PG,tbd,"A widowed cleaning lady in 1950s London falls madly in love with a couture Dior dress, and decides that she must have one of her own. After she works, starves and gambles to raise the funds to pursue her dream, she embarks on an adventure to Paris which will change not only her own outlook, but the very future of the House of Dior."
42,Bodies Bodies Bodies,https://static.metacritic.com/images/products/movies/9/b6645d46faa46c67afa3b0bfa88521d5-98.jpg ,2022-08-05, Not Rated,82,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game goes awry in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong."
43,Samaritan,https://static.metacritic.com/images/products/movies/0/44f3b3de9f2dd880a941985940681f6a-98.jpg ,2022-08-26, PG-13,tbd,A young boy learns that a superhero who was thought to have gone missing after an epic battle twenty years ago may in fact still be around.
44,DIO: Dreamers Never Die,https://static.metacritic.com/images/products/movies/98w-movie.jpg ,2022-09-01, Not Rated,tbd,"The first career spanning documentary on the heavy metal vocalist to be authorized by the artist's estate includes scenes with peers, family and friends; never before seen footage; personal photos."
45,Honk for Jesus. Save Your Soul.,https://static.metacritic.com/images/products/movies/9/72364e29256cc46f6e334979192c2644-98.jpg ,2022-09-02, Not Rated,65,"As the proud first lady of a Southern Baptist megachurch, Trinitie Childs (Regina Hall) carries immense responsibility on her shoulders. Her church, Wander To Greater Paths, once served a congregation in the tens of thousands, but after a scandal involving her husband, Pastor Lee-Curtis Childs (Sterling K. Brown), forced the church to close temporarily, Trinitie is struggling to manage the aftermath. Now Trinitie and Lee-Curtis must rebuild their congregation and reconcile their faith by all means necessary to make the biggest comeback that commodified religion has ever seen."
46,After Ever Happy,https://static.metacritic.com/images/products/movies/2/c074ceedb7cdca73c760aff1e667ef23-98.jpg ,2022-09-07, Not Rated,tbd,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for."
47,Distant,https://static.metacritic.com/images/products/movies/98w-movie.jpg ,2022-09-16, PG-13,tbd,"It follows an asteroid miner who, after crash-landing on an alien planet, must make his way across the harsh terrain, running out of oxygen, hunted by strange creatures, to the only other survivor."
48,Don't Worry Darling,https://static.metacritic.com/images/products/movies/2/181c6e0a4982783f589a3a6bf7c9f53f-98.jpg ,2022-09-23, R,tbd,A 1950's housewife living with her husband in a utopian experimental community begins to worry that his glamorous company may be hiding disturbing secrets.
49,BROS,https://static.metacritic.com/images/products/movies/98w-movie.jpg ,2022-09-30, R,tbd,Two men with commitment problems attempt a relationship.
50,Devotion,https://static.metacritic.com/images/products/movies/98w-movie.jpg ,2022-10-14, PG-13,tbd,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.
51,White Bird: A Wonder Story,https://static.metacritic.com/images/products/movies/98w-movie.jpg ,2022-10-14, Not Rated,tbd,A young Jewish girl hidden away by a boy and his family in Nazi-occupied France during World War II.
52,The Devil's Light,https://static.metacritic.com/images/products/movies/98w-movie.jpg ,2022-10-28, PG-13,tbd,A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.
53,Thirteen Lives,https://static.metacritic.com/images/products/movies/98w-movie.jpg ,2022-11-18, PG-13,tbd,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
54,The Good Maharaja,https://static.metacritic.com/images/products/movies/8/67a4449c299a8d1f9e504ef906595938-98.jpg ,2022-12-17, Not Rated,tbd,"Its a period movie based on the true life event of the Maharaja of Jamnagar saving 1000 polish kids during the world war II, Love story woven with lot of action and drama."
